dataset,method,sample_pct,n_samples,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
pom3d,Sobol,10,50,0.1428571428571428,0.2,0.2318288509066788,0.0015592515592515,5,7,7
pom3d,Sobol,10,50,0.0,0.0,0.2265292414801568,0.0009380863039399,3,7,8
pom3d,Sobol,10,50,0.2857142857142857,1.0,0.2740898599932372,0.0020777062123415,2,7,9
pom3d,Sobol,10,50,0.0,0.0,0.1557722110005287,0.0109375000000001,11,7,10
pom3d,Sobol,10,50,0.0,0.0,0.1987594915382707,0.0469903316353051,8,7,11
pom3d,Sobol,10,50,0.0,0.0,0.1849519208612077,0.0011427384167878,9,7,12
pom3d,Sobol,10,50,0.0,0.0,0.1859382625952757,0.000208051596796,5,7,13
pom3d,Sobol,10,50,0.0,0.0,0.1266498383563394,0.0056203164029973,7,7,14
pom3d,Sobol,10,50,0.0,0.0,0.2045927118587562,0.0246438598315482,3,7,15
pom3d,Sobol,10,50,0.1428571428571428,0.2,0.1060056552056221,0.0776231823412489,5,7,16
pom3d,Sobol,10,50,0.0,0.0,0.2144309504420322,0.0176843857276604,6,7,17
pom3d,Sobol,10,50,0.1428571428571428,0.125,0.1483588047456437,0.0030142396840244,8,7,18
pom3d,Sobol,10,50,0.0,0.0,0.1084017097787307,0.0301010311425891,7,7,19
pom3d,Sobol,20,100,0.2857142857142857,0.6666666666666666,0.1384111317856309,0.060612372422412,3,7,0
pom3d,Sobol,20,100,0.0,0.0,0.1490166423228633,0.0068521594684385,8,7,1
pom3d,Sobol,20,100,0.1428571428571428,0.1111111111111111,0.0512961186996445,0.0733478576615831,9,7,2
pom3d,Sobol,20,100,0.4285714285714285,0.5,0.0439557301318065,0.0546680497925311,6,7,3
pom3d,Sobol,20,100,0.2857142857142857,0.3333333333333333,0.1618289387062642,0.0051861840058085,6,7,4
pom3d,Sobol,20,100,0.1428571428571428,0.2,0.1500306851417144,0.0341357128034863,5,7,5
pom3d,Sobol,20,100,0.2857142857142857,0.4,0.2374112677303743,0.0281997918834546,5,7,6
pom3d,Sobol,20,100,0.1428571428571428,0.25,0.1767151114620935,0.0344612181155647,4,7,7
pom3d,Sobol,20,100,0.1428571428571428,0.1666666666666666,0.2078101654836255,0.0201747088186355,6,7,8
pom3d,Sobol,20,100,0.1428571428571428,0.125,0.0555949625608183,0.0676942303686732,8,7,9
