dataset,method,sample_pct,n_samples,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,Stratified,20,79,0.23076923076923078,0.6,0.21320253541710452,0.0330568993319514,5,13,11
auto93,Stratified,20,79,0.23076923076923078,0.23076923076923078,0.19535678559138814,0.07321016166281749,13,13,12
auto93,Stratified,20,79,0.3076923076923077,0.36363636363636365,0.18384484081070232,0.0940298507462687,11,13,13
auto93,Stratified,20,79,0.07692307692307693,0.2,0.21719171488219896,0.08979544666589617,5,13,14
auto93,Stratified,20,79,0.07692307692307693,0.14285714285714285,0.1495796055930919,0.07119552551852715,7,13,15
auto93,Stratified,20,79,0.3076923076923077,0.5714285714285714,0.18019070365049286,0.07517401392111357,7,13,16
auto93,Stratified,20,79,0.38461538461538464,0.38461538461538464,0.055055901077500066,0.06507088078085069,13,13,17
auto93,Stratified,20,79,0.23076923076923078,0.2,0.149834138376653,0.11782303532389818,15,13,18
auto93,Stratified,20,79,0.3076923076923077,0.3333333333333333,0.16587661710955434,0.11117511520737312,12,13,19
auto93,Stratified,30,119,0.38461538461538464,0.38461538461538464,0.15049843115730768,0.13061129799327226,13,13,0
auto93,Stratified,30,119,0.46153846153846156,0.5,0.1502497219761349,0.12544885902930608,12,13,1
auto93,Stratified,30,119,0.38461538461538464,0.35714285714285715,0.15592178841732054,0.0922487816198653,14,13,2
auto93,Stratified,30,119,0.46153846153846156,0.5454545454545454,0.07186456689906193,0.007936507936507763,11,13,3
auto93,Stratified,30,119,0.15384615384615385,0.2857142857142857,0.15532714428513586,0.10660191929702853,7,13,4
auto93,Stratified,30,119,0.3076923076923077,0.4444444444444444,0.17903955067071206,0.1273377972754561,9,13,5
auto93,Stratified,30,119,0.38461538461538464,0.2631578947368421,0.0700606774137318,0.036252026870511905,19,13,6
auto93,Stratified,30,119,0.5384615384615384,0.2692307692307692,0.12667793825783474,0.06078431372549021,26,13,7
auto93,Stratified,30,119,0.23076923076923078,0.13636363636363635,0.16369536201921403,0.07878297084683017,22,13,8
auto93,Stratified,30,119,0.46153846153846156,0.4,0.1347003050567133,0.10331294009003814,15,13,9
auto93,Stratified,30,119,0.3076923076923077,0.3076923076923077,0.1686170221390831,0.1116739580934838,13,13,10
auto93,Stratified,30,119,0.5384615384615384,0.3888888888888889,0.03638146373555581,0.02156457903188815,18,13,11
auto93,Stratified,30,119,0.8461538461538461,0.39285714285714285,0.0665103744682905,0.023908045977011544,28,13,12
auto93,Stratified,30,119,0.38461538461538464,0.25,0.12549598537947554,0.032016584129909084,20,13,13
auto93,Stratified,30,119,0.38461538461538464,0.625,0.17224695831360765,0.0945681005651023,8,13,14
auto93,Stratified,30,119,0.46153846153846156,0.23076923076923078,0.15606014626729708,0.11043227665706039,26,13,15
auto93,Stratified,30,119,0.38461538461538464,0.3125,0.17146235385520925,0.12395736793327153,16,13,16
auto93,Stratified,30,119,0.38461538461538464,0.5555555555555556,0.16654160412157562,0.10407501736513085,9,13,17
auto93,Stratified,30,119,0.3076923076923077,0.4444444444444444,0.14488527606443727,0.040589122115272984,9,13,18
auto93,Stratified,30,119,0.46153846153846156,0.5,0.15685789975590841,0.11217211228716063,12,13,19
auto93,Clustering,5,19,0.46153846153846156,0.14634146341463414,0.18716062345424295,0.1816300724221175,41,13,0
auto93,Clustering,5,19,0.3076923076923077,0.13793103448275862,0.14864205714490564,0.08937449416117467,29,13,1
auto93,Clustering,5,19,0.6153846153846154,0.14814814814814814,0.18811336083992974,0.17852193995381055,54,13,2
auto93,Clustering,5,19,0.38461538461538464,0.12195121951219512,0.141784259870467,0.08633930649290206,41,13,3
auto93,Clustering,5,19,0.6923076923076923,0.1956521739130435,0.17538848770899887,0.14962793360045806,46,13,4
auto93,Clustering,5,19,0.6153846153846154,0.15384615384615385,0.21277306301164303,0.2060838267734819,52,13,5
auto93,Clustering,5,19,0.38461538461538464,0.10869565217391304,0.25071150646938534,0.33163972286374127,46,13,6
auto93,Clustering,5,19,0.6153846153846154,0.16326530612244897,0.1632806903872626,0.14534749480489492,49,13,7
auto93,Clustering,5,19,0.46153846153846156,0.15384615384615385,0.18963989547863294,0.16750203986478612,39,13,8
auto93,Clustering,5,19,0.38461538461538464,0.1282051282051282,0.15241944104600302,0.005082592121982292,39,13,9
auto93,Clustering,5,19,0.15384615384615385,0.06060606060606061,0.19592180986769453,0.19617391304347828,33,13,10
auto93,Clustering,5,19,0.07692307692307693,0.029411764705882353,0.1375742469515951,0.10976872626855375,34,13,11
auto93,Clustering,5,19,0.46153846153846156,0.125,0.1779691333008738,0.15416714964645878,48,13,12
auto93,Clustering,5,19,0.3076923076923077,0.10810810810810811,0.22327892534421828,0.22406447898675874,37,13,13
auto93,Clustering,5,19,0.6153846153846154,0.1509433962264151,0.18868305369703015,0.1648824761461485,53,13,14
auto93,Clustering,5,19,0.38461538461538464,0.1388888888888889,0.18436383881850885,0.1917218928031623,36,13,15
auto93,Clustering,5,19,0.38461538461538464,0.13513513513513514,0.1665145778037321,0.032400418069910446,37,13,16
auto93,Clustering,5,19,0.23076923076923078,0.13043478260869565,0.1547059879001787,0.11330392384490366,23,13,17
auto93,Clustering,5,19,0.6153846153846154,0.17391304347826086,0.16029501140010136,0.14011116257526623,46,13,18
auto93,Clustering,5,19,0.38461538461538464,0.15625,0.15370573989361588,0.0026558891454964775,32,13,19
auto93,Clustering,10,39,0.07692307692307693,1.0,0.47115718705588894,0.15313653136531374,1,13,0
auto93,Clustering,10,39,0.15384615384615385,0.08695652173913043,0.12460692728779196,0.005347593582887777,23,13,1
auto93,Clustering,10,39,0.46153846153846156,0.16666666666666666,0.13364394781586394,0.020852534562211904,36,13,2
auto93,Clustering,10,39,0.07692307692307693,0.5,0.395222679137936,0.1185871453387376,2,13,3
auto93,Clustering,10,39,0.0,0.0,0.15135944400235074,0.024229074889867693,8,13,4
auto93,Clustering,10,39,0.38461538461538464,0.16129032258064516,0.12223040482090654,0.014973508408200739,31,13,5
auto93,Clustering,10,39,0.46153846153846156,0.13043478260869565,0.13073868582074935,0.011627906976744125,46,13,6
auto93,Clustering,10,39,0.3076923076923077,0.0975609756097561,0.12244986144070899,0.0822391154111957,41,13,7
auto93,Clustering,10,39,0.46153846153846156,0.10714285714285714,0.11626951053280533,0.05458942761718296,56,13,8
auto93,Clustering,10,39,0.46153846153846156,0.17647058823529413,0.11954589146712544,0.0043703277745831895,34,13,9
auto93,Clustering,10,39,0.46153846153846156,0.17647058823529413,0.1682209709437313,0.08573072497123133,34,13,10
auto93,Clustering,10,39,0.07692307692307693,0.3333333333333333,0.2031539297679545,0.1313666743489283,3,13,11
auto93,Clustering,10,39,0.3076923076923077,0.125,0.12280346436120348,0.03609317343173429,32,13,12
