dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
SS-M,Diversity,50,5.79,864,0.2857142857142857,0.4,0.003290275864907329,9.99999999999978e-05,5,7,15
SS-M,Diversity,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,16
SS-M,Diversity,50,5.79,864,0.14285714285714285,0.5,0.005338159052571031,0.0,2,7,17
SS-M,Diversity,50,5.79,864,0.2857142857142857,0.10526315789473684,0.0030734005980581148,0.0,19,7,18
SS-M,Diversity,50,5.79,864,0.2857142857142857,0.5,0.0029011659908469043,0.0,4,7,19
SS-M,LHS,50,5.79,864,0.14285714285714285,0.07692307692307693,0.002411312408393236,0.0,13,7,0
SS-M,LHS,50,5.79,864,0.2857142857142857,0.25,0.002675253557477262,9.99999999999978e-05,8,7,1
SS-M,LHS,50,5.79,864,0.0,0.0,0.003442947703644399,9.99999999999978e-05,5,7,2
SS-M,LHS,50,5.79,864,0.0,0.0,0.002903629646578323,0.0,4,7,3
SS-M,LHS,50,5.79,864,0.0,0.0,0.00558286186724434,0.0,2,7,4
SS-M,LHS,50,5.79,864,0.14285714285714285,0.5,0.0043154142124192585,0.0,2,7,5
SS-M,LHS,50,5.79,864,0.0,0.0,0.005567363335435748,0.0001000100010000978,2,7,6
SS-M,LHS,50,5.79,864,0.42857142857142855,0.14285714285714285,0.0025841306183420837,0.0,21,7,7
SS-M,LHS,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,8
SS-M,LHS,50,5.79,864,0.14285714285714285,0.07692307692307693,0.003132182567617424,0.0001000100010000978,13,7,9
SS-M,LHS,50,5.79,864,0.2857142857142857,0.2222222222222222,0.002848963717628068,0.0001000100010000978,9,7,10
SS-M,LHS,50,5.79,864,0.42857142857142855,0.13636363636363635,0.003257590001393063,0.0002999999999999934,22,7,11
SS-M,LHS,50,5.79,864,0.14285714285714285,0.5,0.0055939119781939885,0.0,2,7,12
SS-M,LHS,50,5.79,864,0.14285714285714285,0.5,0.004663817737940301,0.0,2,7,13
SS-M,LHS,50,5.79,864,0.2857142857142857,1.0,0.0043495244633946824,0.0,2,7,14
SS-M,LHS,50,5.79,864,0.0,0.0,0.0028462701782412557,0.0001000100010000978,4,7,15
SS-M,LHS,50,5.79,864,0.14285714285714285,0.25,0.004843309706373185,9.99999999999978e-05,4,7,16
SS-M,LHS,50,5.79,864,0.14285714285714285,0.25,0.0031078506046149476,0.0,4,7,17
SS-M,LHS,50,5.79,864,0.14285714285714285,0.14285714285714285,0.0033936356648806786,0.0001000100010000978,7,7,18
SS-M,LHS,50,5.79,864,0.14285714285714285,0.5,0.0037241423801307573,0.0,2,7,19
SS-M,Sobol,50,5.79,864,0.42857142857142855,0.42857142857142855,0.0035616920750460583,0.0,7,7,0
SS-M,Sobol,50,5.79,864,0.0,0.0,0.0027616017330069063,0.0,6,7,1
SS-M,Sobol,50,5.79,864,0.0,0.0,0.004321023045635883,0.0,3,7,2
SS-M,Sobol,50,5.79,864,0.0,0.0,0.0027104237104136346,0.0,3,7,3
SS-M,Sobol,50,5.79,864,0.2857142857142857,0.4,0.0031351374402099996,0.0,5,7,4
SS-M,Sobol,50,5.79,864,0.0,0.0,0.004311377195489198,0.0,3,7,5
SS-M,Sobol,50,5.79,864,0.0,0.0,0.004118615650069262,0.0,5,7,6
SS-M,Sobol,50,5.79,864,0.0,0.0,0.003608535203121075,0.0,4,7,7
SS-M,Sobol,50,5.79,864,0.14285714285714285,0.08333333333333333,0.0033691333492062415,0.0002999999999999934,12,7,8
SS-M,Sobol,50,5.79,864,0.0,0.0,0.0037549961632922,0.0,4,7,9
SS-M,Sobol,50,5.79,864,0.0,0.0,0.002779674232900766,0.0001000100010000978,7,7,10
SS-M,Sobol,50,5.79,864,0.0,0.0,0.003755532029805236,0.0,6,7,11
SS-M,Sobol,50,5.79,864,0.0,0.0,0.00326042575972938,0.0,2,7,12
SS-M,Sobol,50,5.79,864,0.14285714285714285,0.5,0.005253480038048018,0.0,2,7,13
SS-M,Sobol,50,5.79,864,0.14285714285714285,0.5,0.004360326229093205,0.0,2,7,14
SS-M,Sobol,50,5.79,864,0.5714285714285714,0.21052631578947367,0.003211597641034708,0.0001000100010000978,19,7,15
SS-M,Sobol,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0001000100010000978,1,7,16
SS-M,Sobol,50,5.79,864,0.2857142857142857,1.0,0.00454882158292446,0.0,2,7,17
SS-M,Sobol,50,5.79,864,0.0,0.0,0.006167638127831736,0.0,1,7,18
SS-M,Sobol,50,5.79,864,0.0,0.0,0.0033002277458589638,0.0,2,7,19
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.00301420587065057,0.0001999999999999956,3,7,0
SS-M,ActiveLearning,50,5.79,864,0.42857142857142855,0.17647058823529413,0.004802418395741692,0.0002999999999999934,17,7,1
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.003910594157226648,9.99999999999978e-05,3,7,2
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,3
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.004546150670928519,0.0,5,7,4
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.006167638127831736,0.0,1,7,5
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.004190336065159672,0.0,3,7,6
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.006167638127831736,0.0,1,7,7
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.00463813692624771,9.99999999999978e-05,2,7,8
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.003946483508154286,0.0,2,7,9
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.006167638127831736,0.0,1,7,10
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,0.07692307692307693,0.005756432520544125,0.000499999999999989,13,7,11
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,0.125,0.002658164096960644,0.0,8,7,12
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.006167638127831736,0.0001000100010000978,1,7,13
SS-M,ActiveLearning,50,5.79,864,0.0,0.0,0.010415333078684308,0.0002999999999999934,10,7,14
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,0.14285714285714285,0.002612421412028536,0.0,7,7,15
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,16
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,0.5,0.0033159311281210227,0.0,2,7,17
SS-M,ActiveLearning,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,18
SS-M,ActiveLearning,50,5.79,864,0.42857142857142855,0.1,0.002905910071604195,0.0001999999999999956,30,7,19
SS-M,Random,100,11.57,864,0.14285714285714285,0.25,0.00355409478764002,0.0,4,7,0
SS-M,Random,100,11.57,864,0.0,0.0,0.003307457852925244,0.0001999999999999956,8,7,1
SS-M,Random,100,11.57,864,0.42857142857142855,0.42857142857142855,0.002720528246564127,0.0001000100010000978,7,7,2
SS-M,Random,100,11.57,864,0.14285714285714285,0.14285714285714285,0.0025351343902236846,0.0001000100010000978,7,7,3
SS-M,Random,100,11.57,864,0.42857142857142855,0.16666666666666666,0.003490440606377001,9.99999999999978e-05,18,7,4
SS-M,Random,100,11.57,864,0.14285714285714285,0.5,0.0042666177291405686,0.0,2,7,5
SS-M,Random,100,11.57,864,0.2857142857142857,0.6666666666666666,0.0030700810979420096,0.0,3,7,6
SS-M,Random,100,11.57,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,7
SS-M,Random,100,11.57,864,0.14285714285714285,0.25,0.003523653603327331,0.0,4,7,8
SS-M,Random,100,11.57,864,0.2857142857142857,0.5,0.0029146290820490695,0.0,4,7,9
SS-M,Random,100,11.57,864,0.42857142857142855,1.0,0.0036476052433066183,0.0,3,7,10
SS-M,Random,100,11.57,864,0.2857142857142857,0.2857142857142857,0.003518547789286939,0.0001000100010000978,7,7,11
SS-M,Random,100,11.57,864,0.14285714285714285,0.25,0.0035166082746057787,0.0001999999999999956,4,7,12
SS-M,Random,100,11.57,864,0.2857142857142857,0.2857142857142857,0.0029713764781688244,0.0,7,7,13
SS-M,Random,100,11.57,864,0.14285714285714285,0.5,0.005202810903911344,0.0,2,7,14
SS-M,Random,100,11.57,864,0.42857142857142855,0.375,0.0021648382759318695,0.0,8,7,15
SS-M,Random,100,11.57,864,0.0,0.0,0.002722358022522343,0.0,6,7,16
SS-M,Random,100,11.57,864,0.14285714285714285,0.125,0.006249809387789566,9.99999999999978e-05,8,7,17
SS-M,Random,100,11.57,864,0.2857142857142857,1.0,0.003511671053639695,9.99999999999978e-05,2,7,18
SS-M,Random,100,11.57,864,0.2857142857142857,0.2857142857142857,0.002793124066912125,0.0,7,7,19
SS-M,Stratified,100,11.57,864,0.2857142857142857,0.15384615384615385,0.002494406466202463,0.0,13,7,0
SS-M,Stratified,100,11.57,864,0.2857142857142857,0.5,0.0027431182055407863,0.0,4,7,1
SS-M,Stratified,100,11.57,864,0.0,0.0,0.0021996846899367682,0.0,9,7,2
SS-M,Stratified,100,11.57,864,0.0,0.0,0.0022834605340900757,0.0,6,7,3
SS-M,Stratified,100,11.57,864,0.0,0.0,0.002647015173021062,0.0,5,7,4
SS-M,Stratified,100,11.57,864,0.2857142857142857,0.5,0.003111396515909231,0.0001000100010000978,4,7,5
SS-M,Stratified,100,11.57,864,0.0,0.0,0.0033299470436172858,0.0,4,7,6
SS-M,Stratified,100,11.57,864,0.0,0.0,0.0025201199145426056,0.0,4,7,7
SS-M,Stratified,100,11.57,864,0.14285714285714285,0.5,0.004140250961247615,0.0,2,7,8
SS-M,Stratified,100,11.57,864,0.14285714285714285,0.16666666666666666,0.0027023112967507305,0.0,6,7,9
SS-M,Stratified,100,11.57,864,0.0,0.0,0.0045875234874036,0.0,3,7,10
SS-M,Stratified,100,11.57,864,0.2857142857142857,0.4,0.003283115365316757,0.0,5,7,11
SS-M,Stratified,100,11.57,864,0.2857142857142857,0.14285714285714285,0.0033121607247752123,0.0002000200020001956,14,7,12
SS-M,Stratified,100,11.57,864,0.14285714285714285,0.25,0.004134941450636975,0.0,4,7,13
SS-M,Stratified,100,11.57,864,0.0,0.0,0.003310262360725362,0.0,6,7,14
SS-M,Stratified,100,11.57,864,0.42857142857142855,0.2,0.0031051436297774813,0.0001000100010000978,15,7,15
SS-M,Stratified,100,11.57,864,0.14285714285714285,0.14285714285714285,0.002880794673699374,9.99999999999978e-05,7,7,16
SS-M,Stratified,100,11.57,864,0.0,0.0,0.002313146764647468,0.0,4,7,17
SS-M,Stratified,100,11.57,864,0.0,0.0,0.004653587191290436,9.99999999999978e-05,4,7,18
SS-M,Stratified,100,11.57,864,0.0,0.0,0.004643147463095485,0.0,2,7,19
SS-M,Clustering,100,11.57,864,0.2857142857142857,0.4,0.0028074154826296183,0.0001000100010000978,5,7,0
SS-M,Clustering,100,11.57,864,0.0,0.0,0.0025611567164468482,0.0002999999999999934,8,7,1
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.25,0.003668101074019661,0.0,4,7,2
SS-M,Clustering,100,11.57,864,0.2857142857142857,0.4,0.0026163210925695597,0.0,5,7,3
