dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,ActiveLearning,50,12.56,398,0.15384615384615385,0.07692307692307693,0.16243970410687966,0.04834960483496038,26,13,17
auto93,ActiveLearning,50,12.56,398,0.46153846153846156,0.1875,0.1195639378409798,0.005420366739707143,32,13,18
auto93,ActiveLearning,50,12.56,398,0.07692307692307693,0.058823529411764705,0.355023131141396,0.22986789201608274,17,13,19
auto93,Random,100,25.13,398,0.5384615384615384,0.5833333333333334,0.058749913515667634,0.08577043116402713,12,13,0
auto93,Random,100,25.13,398,0.46153846153846156,0.2727272727272727,0.1351131704396735,0.017311490647147675,22,13,1
auto93,Random,100,25.13,398,0.46153846153846156,0.35294117647058826,0.14111088952605252,0.1184195369197098,17,13,2
auto93,Random,100,25.13,398,0.38461538461538464,0.8333333333333334,0.22232052869400787,0.11419967570071808,6,13,3
auto93,Random,100,25.13,398,0.3076923076923077,0.5714285714285714,0.255528416124829,0.09888210210902379,7,13,4
auto93,Random,100,25.13,398,0.46153846153846156,0.35294117647058826,0.12401930589780338,0.03555350340528684,17,13,5
auto93,Random,100,25.13,398,0.38461538461538464,0.8333333333333334,0.15797934556492615,0.11041666666666675,6,13,6
auto93,Random,100,25.13,398,0.46153846153846156,0.23076923076923078,0.12948918743954713,0.07980625072079363,26,13,7
auto93,Random,100,25.13,398,0.3076923076923077,0.3333333333333333,0.14310121413379834,0.008366256100395082,12,13,8
auto93,Random,100,25.13,398,0.5384615384615384,0.4117647058823529,0.078400067524094,0.00702279530278613,17,13,9
auto93,Random,100,25.13,398,0.3076923076923077,0.2,0.14969408204689524,0.09782357027089601,20,13,10
auto93,Random,100,25.13,398,0.3076923076923077,0.6666666666666666,0.19088950926511528,0.12872315862387446,6,13,11
auto93,Random,100,25.13,398,0.38461538461538464,0.4166666666666667,0.12177093657577635,0.022302241839934848,12,13,12
auto93,Random,100,25.13,398,0.38461538461538464,0.5,0.16716397178677633,0.09924812030075202,10,13,13
auto93,Random,100,25.13,398,0.3076923076923077,0.36363636363636365,0.14130914646419368,0.009815242494226498,11,13,14
auto93,Random,100,25.13,398,0.15384615384615385,0.11764705882352941,0.13433870821998342,0.032823010902342895,17,13,15
auto93,Random,100,25.13,398,0.23076923076923078,0.25,0.1709456755126263,0.10690012671351243,12,13,16
auto93,Random,100,25.13,398,0.0,0.0,0.13831121691211126,0.022050334795659293,12,13,17
auto93,Random,100,25.13,398,0.15384615384615385,0.18181818181818182,0.1406119484724836,0.04398014544615029,11,13,18
auto93,Random,100,25.13,398,0.15384615384615385,0.2222222222222222,0.1437838247756298,0.08964719491035276,9,13,19
auto93,Stratified,100,25.13,398,0.3076923076923077,0.19047619047619047,0.10056044284770006,0.006222631942844028,21,13,0
auto93,Stratified,100,25.13,398,0.3076923076923077,0.21052631578947367,0.13201172825761515,0.10558717621094203,19,13,1
auto93,Stratified,100,25.13,398,0.38461538461538464,0.7142857142857143,0.17731776506919258,0.10294961551704353,7,13,2
auto93,Stratified,100,25.13,398,0.3076923076923077,0.19047619047619047,0.13797142216961522,0.059102475133009535,21,13,3
auto93,Stratified,100,25.13,398,0.46153846153846156,0.3333333333333333,0.06301265878785343,0.020184342550460803,18,13,4
auto93,Stratified,100,25.13,398,0.3076923076923077,0.16666666666666666,0.13033157775840845,0.01522140221402219,24,13,5
auto93,Stratified,100,25.13,398,0.38461538461538464,0.5,0.15555141290172309,0.11743690215512265,10,13,6
auto93,Stratified,100,25.13,398,0.15384615384615385,0.2857142857142857,0.17074519360855836,0.025263645845405053,7,13,7
auto93,Stratified,100,25.13,398,0.46153846153846156,0.5,0.15589652661764236,0.10950341474707731,12,13,8
auto93,Stratified,100,25.13,398,0.46153846153846156,0.5454545454545454,0.1562220575221206,0.024789576847688455,11,13,9
auto93,Stratified,100,25.13,398,0.46153846153846156,0.3333333333333333,0.18011992599921786,0.11974184626022805,18,13,10
auto93,Stratified,100,25.13,398,0.3076923076923077,0.36363636363636365,0.163947185431089,0.06581543818920478,11,13,11
auto93,Stratified,100,25.13,398,0.38461538461538464,0.35714285714285715,0.10000836437981662,0.017343731812361783,14,13,12
auto93,Stratified,100,25.13,398,0.38461538461538464,0.3125,0.08115923358392509,0.043568945538818085,16,13,13
auto93,Stratified,100,25.13,398,0.23076923076923078,0.23076923076923078,0.13228447701240836,0.10732323232323225,13,13,14
auto93,Stratified,100,25.13,398,0.46153846153846156,0.3,0.07329033535562518,0.015111316184104141,20,13,15
