dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
coc1000,Random,250,0.2726,0.2674,0.0489,0.2083,0.4028,0.4554,0.4416,0.0781,0.3191,0.6212,0.1534,0.1533,0.0098,0.1346,0.1721,0.0939,0.0938,0.0247,0.0437,0.1414,25.0,1000,87.75,144
coc1000,Sobol,50,0.3184,0.3194,0.1067,0.1319,0.6667,0.2214,0.221,0.0465,0.1424,0.3222,0.2757,0.2759,0.0208,0.2354,0.3173,0.2715,0.2734,0.0627,0.1533,0.3771,5.0,1000,215.45,144
coc1000,Sobol,100,0.1997,0.2083,0.0672,0.0764,0.3264,0.3015,0.3026,0.0773,0.1653,0.4576,0.2209,0.2215,0.0156,0.1971,0.2485,0.1713,0.1715,0.0339,0.0999,0.2339,10.0,1000,99.85,144
coc1000,Sobol,200,0.2837,0.2917,0.058,0.1806,0.3889,0.3907,0.381,0.0529,0.2857,0.4719,0.1655,0.1636,0.0123,0.1425,0.1889,0.1155,0.1281,0.0311,0.0361,0.1512,20.0,1000,105.8,144
coc1000,Sobol,250,0.2913,0.2778,0.0471,0.1944,0.3889,0.4558,0.4444,0.0653,0.3451,0.6081,0.1437,0.1442,0.01,0.1279,0.1674,0.0906,0.0908,0.019,0.0577,0.1253,25.0,1000,93.2,144
coc1000,Stratified,50,0.2917,0.2917,0.153,0.0417,0.5625,0.2441,0.2463,0.0563,0.1304,0.3548,0.2933,0.2876,0.0293,0.2468,0.3711,0.2927,0.2881,0.069,0.1551,0.4357,5.0,1000,179.3,144
coc1000,Stratified,100,0.2378,0.2465,0.1212,0.0625,0.4722,0.2961,0.2901,0.057,0.1698,0.3939,0.2225,0.2244,0.0124,0.2018,0.2447,0.1771,0.1797,0.039,0.0945,0.2341,10.0,1000,117.8,144
coc1000,Stratified,200,0.2503,0.2465,0.0573,0.1667,0.3681,0.4229,0.4101,0.0806,0.284,0.6275,0.1703,0.1721,0.0148,0.1452,0.1995,0.1086,0.1086,0.0377,0.0307,0.1794,20.0,1000,89.7,144
coc1000,Stratified,250,0.2774,0.2708,0.0378,0.2153,0.3611,0.4484,0.4277,0.0707,0.3486,0.6234,0.1525,0.1508,0.0129,0.1252,0.1827,0.098,0.0942,0.031,0.0471,0.1627,25.0,1000,90.3,144
pom3d,ActiveLearning,50,0.0857,0.0,0.1077,0.0,0.2857,0.1092,0.0,0.1598,0.0,0.5,0.1881,0.1802,0.0634,0.0473,0.3071,0.0435,0.0345,0.0369,0.0021,0.1155,10.0,500,7.55,7
pom3d,ActiveLearning,100,0.1071,0.1429,0.1215,0.0,0.4286,0.126,0.0889,0.1815,0.0,0.6667,0.1465,0.1557,0.05,0.0365,0.2243,0.0243,0.0204,0.0204,0.0016,0.0866,20.0,500,7.35,7
pom3d,ActiveLearning,200,0.3,0.2857,0.153,0.1429,0.7143,0.2591,0.1667,0.2349,0.0714,1.0,0.0661,0.0426,0.0497,0.0145,0.1604,0.0348,0.0406,0.0178,0.0017,0.0628,40.0,500,9.95,7
pom3d,ActiveLearning,250,0.4429,0.4286,0.1458,0.1429,0.7143,0.4327,0.3485,0.2837,0.125,1.0,0.0278,0.0229,0.0181,0.0091,0.0954,0.0229,0.0255,0.0182,0.0007,0.0524,50.0,500,9.3,7
pom3d,Clustering,50,0.05,0.0,0.0699,0.0,0.1429,0.0925,0.0,0.1426,0.0,0.5,0.1735,0.1709,0.0565,0.0643,0.2921,0.0177,0.014,0.015,0.0002,0.0657,10.0,500,5.65,7
pom3d,Clustering,100,0.2357,0.2143,0.1412,0.0,0.4286,0.3193,0.225,0.262,0.0,1.0,0.148,0.1479,0.0641,0.0431,0.2528,0.0165,0.0154,0.0099,0.0031,0.038,20.0,500,6.4,7
pom3d,Clustering,200,0.5214,0.5714,0.1333,0.2857,0.7143,0.5597,0.5,0.2694,0.1333,1.0,0.146,0.1586,0.0354,0.019,0.1772,0.0243,0.0247,0.0094,0.006,0.0395,40.0,500,7.55,7
pom3d,Clustering,250,0.5857,0.5714,0.1458,0.2857,0.8571,0.5106,0.5,0.1866,0.1538,1.0,0.1245,0.135,0.048,0.0206,0.1806,0.0262,0.0266,0.0064,0.0162,0.0427,50.0,500,8.5,7
pom3d,Diversity,50,0.1214,0.1429,0.0523,0.0,0.1429,0.102,0.1111,0.0537,0.0,0.1667,0.1562,0.1602,0.0287,0.0965,0.216,0.0125,0.0084,0.0108,0.0,0.0415,10.0,500,8.8,7
pom3d,Diversity,100,0.15,0.1429,0.0864,0.0,0.2857,0.1235,0.1181,0.0919,0.0,0.4,0.1249,0.1396,0.0557,0.0315,0.2641,0.0161,0.0143,0.01,0.0011,0.04,20.0,500,9.4,7
pom3d,Diversity,200,0.3643,0.3571,0.1763,0.1429,0.7143,0.3156,0.2792,0.2582,0.0833,1.0,0.094,0.1265,0.064,0.0126,0.1649,0.0254,0.0241,0.0062,0.0101,0.0371,40.0,500,9.55,7
pom3d,Diversity,250,0.4714,0.4286,0.174,0.1429,0.7143,0.4626,0.3485,0.3126,0.0909,1.0,0.0376,0.0175,0.046,0.0091,0.1354,0.0184,0.0231,0.0118,0.0,0.0332,50.0,500,8.65,7
pom3d,LHS,50,0.1214,0.1429,0.1486,0.0,0.5714,0.2026,0.1339,0.2447,0.0,0.6667,0.1914,0.1929,0.0658,0.0177,0.2804,0.0287,0.0255,0.0231,0.0018,0.1092,10.0,500,6.0,7
pom3d,LHS,100,0.1929,0.1429,0.1926,0.0,0.7143,0.2569,0.225,0.2567,0.0,1.0,0.1469,0.1518,0.0663,0.0321,0.2935,0.0262,0.0187,0.0193,0.0033,0.0828,20.0,500,6.5,7
pom3d,LHS,200,0.3571,0.2857,0.2047,0.0,0.7143,0.3708,0.3095,0.2569,0.0,1.0,0.1028,0.0951,0.0792,0.008,0.2497,0.028,0.0268,0.0134,0.0045,0.0589,40.0,500,7.45,7
pom3d,LHS,250,0.4857,0.5,0.1697,0.1429,0.8571,0.5121,0.5,0.2153,0.1429,1.0,0.0928,0.0679,0.08,0.011,0.2564,0.0245,0.029,0.0129,0.0006,0.0417,50.0,500,6.95,7
pom3d,Random,50,0.1357,0.1429,0.157,0.0,0.5714,0.1599,0.1181,0.2122,0.0,0.8,0.1648,0.1755,0.0707,0.0277,0.2914,0.0262,0.0182,0.0236,0.0026,0.0853,10.0,500,7.0,7
pom3d,Random,100,0.2,0.1429,0.1495,0.0,0.5714,0.2572,0.2,0.2552,0.0,1.0,0.1369,0.1412,0.0647,0.0199,0.2687,0.0204,0.0229,0.0123,0.0011,0.046,20.0,500,6.9,7
pom3d,Random,200,0.3929,0.3571,0.1904,0.0,0.7143,0.4319,0.3542,0.2918,0.0,1.0,0.0946,0.1214,0.066,0.0124,0.1702,0.0224,0.0253,0.0139,0.0014,0.0475,40.0,500,7.35,7
pom3d,Random,250,0.5214,0.5,0.2035,0.1429,1.0,0.558,0.5278,0.2717,0.0833,1.0,0.1054,0.1566,0.0803,0.0,0.2592,0.0188,0.0235,0.0133,0.0003,0.0347,50.0,500,7.35,7
pom3d,Sobol,50,0.1071,0.1429,0.1123,0.0,0.2857,0.1791,0.1548,0.207,0.0,0.6667,0.1835,0.1802,0.0532,0.0475,0.2734,0.0308,0.024,0.0252,0.0035,0.0829,10.0,500,6.15,7
pom3d,Sobol,100,0.1857,0.1429,0.1235,0.0,0.4286,0.2826,0.2917,0.2164,0.0,0.75,0.1738,0.1654,0.046,0.0672,0.2664,0.0218,0.0226,0.0108,0.0012,0.0391,20.0,500,5.55,7
pom3d,Sobol,200,0.3429,0.2857,0.1759,0.0,0.5714,0.3873,0.3667,0.235,0.0,1.0,0.1117,0.1554,0.0703,0.0117,0.2071,0.0245,0.0285,0.0119,0.002,0.0436,40.0,500,6.75,7
pom3d,Sobol,250,0.4286,0.4286,0.1854,0.1429,0.7143,0.4426,0.4365,0.2127,0.1,0.8,0.0919,0.1104,0.0708,0.008,0.1977,0.0248,0.0258,0.0108,0.002,0.0416,50.0,500,7.1,7
pom3d,Stratified,50,0.0857,0.0714,0.0972,0.0,0.2857,0.1439,0.05,0.2074,0.0,0.6667,0.1741,0.182,0.0497,0.0585,0.2673,0.0203,0.0164,0.0148,0.0011,0.0607,10.0,500,6.15,7
pom3d,Stratified,100,0.1857,0.1429,0.186,0.0,0.5714,0.1917,0.1548,0.2012,0.0,0.6667,0.1363,0.155,0.0468,0.0281,0.1829,0.0225,0.0176,0.018,0.0003,0.0662,20.0,500,8.4,7
pom3d,Stratified,200,0.3143,0.2857,0.1944,0.0,0.7143,0.3532,0.2361,0.3064,0.0,1.0,0.1346,0.1408,0.0725,0.0174,0.2645,0.0232,0.0261,0.0102,0.0035,0.0362,40.0,500,8.1,7
pom3d,Stratified,250,0.45,0.4286,0.1689,0.1429,0.7143,0.4949,0.4365,0.2486,0.1111,1.0,0.0784,0.0304,0.0763,0.0091,0.2707,0.0201,0.0229,0.015,0.0011,0.0526,50.0,500,7.0,7
