dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
SS-M,Sobol,100,0.1643,0.1429,0.1333,0.0,0.4286,0.3857,0.3333,0.3692,0.0,1.0,0.0032,0.0029,0.0012,0.002,0.0062,0.0,0.0,0.0001,0.0,0.0003,11.57,864,4.75,7
SS-M,Sobol,200,0.35,0.3571,0.1267,0.1429,0.5714,0.5204,0.45,0.2859,0.1429,1.0,0.0027,0.0025,0.0005,0.0022,0.004,0.0,0.0,0.0001,0.0,0.0002,23.15,864,5.55,7
SS-M,Sobol,250,0.3857,0.4286,0.186,0.0,0.7143,0.5062,0.5,0.279,0.0,1.0,0.0024,0.0024,0.0006,0.0016,0.0035,0.0001,0.0,0.0001,0.0,0.0004,28.94,864,6.0,7
SS-M,Stratified,50,0.0786,0.0,0.098,0.0,0.2857,0.1831,0.0,0.2742,0.0,1.0,0.0036,0.0033,0.0011,0.0022,0.0062,0.0,0.0,0.0001,0.0,0.0002,5.79,864,3.8,7
SS-M,Stratified,100,0.1214,0.0714,0.1412,0.0,0.4286,0.1478,0.0714,0.1875,0.0,0.5,0.0032,0.0031,0.0008,0.0022,0.0047,0.0,0.0,0.0001,0.0,0.0002,11.57,864,6.05,7
SS-M,Stratified,200,0.2429,0.2857,0.1612,0.0,0.5714,0.3877,0.3333,0.3508,0.0,1.0,0.0028,0.0026,0.0009,0.0015,0.0049,0.0,0.0,0.0,0.0,0.0001,23.15,864,6.7,7
SS-M,Stratified,250,0.3643,0.4286,0.1938,0.1429,0.7143,0.3953,0.3333,0.2656,0.0769,1.0,0.0026,0.0026,0.0007,0.0014,0.004,0.0001,0.0001,0.0001,0.0,0.0001,28.94,864,7.65,7
accessories,ActiveLearning,50,0.508,0.527,0.3775,0.027,0.979,0.6487,0.5954,0.1505,0.3993,0.973,0.0355,0.0294,0.0226,0.008,0.0903,0.3018,0.3466,0.1423,0.0293,0.5001,4.46,1121,569.55,666
accessories,ActiveLearning,100,0.3527,0.1329,0.3345,0.0285,0.9279,0.7209,0.6864,0.1365,0.5767,0.9429,0.0333,0.0293,0.0146,0.0104,0.059,0.2402,0.2899,0.1674,0.0191,0.5241,8.92,1121,384.55,666
accessories,ActiveLearning,200,0.2917,0.2192,0.2307,0.0435,0.7508,0.8027,0.8303,0.1093,0.5409,0.9375,0.035,0.0364,0.0207,0.0099,0.0799,0.1635,0.1833,0.14,0.0031,0.3765,17.84,1121,268.35,666
accessories,ActiveLearning,250,0.2298,0.1464,0.2225,0.042,0.7072,0.8547,0.8611,0.0847,0.6897,1.0,0.0267,0.027,0.0124,0.01,0.0428,0.102,0.0247,0.1248,0.0017,0.2963,22.3,1121,188.45,666
accessories,Clustering,50,0.4123,0.4812,0.2653,0.027,0.8018,0.6743,0.6478,0.099,0.5475,0.9259,0.0521,0.049,0.0203,0.0102,0.1033,0.263,0.3423,0.148,0.0027,0.375,4.46,1121,433.75,666
accessories,Clustering,100,0.3015,0.2245,0.2435,0.0255,0.7748,0.7992,0.85,0.1413,0.5751,0.9688,0.0447,0.045,0.0191,0.0122,0.0803,0.1331,0.0414,0.1495,0.0053,0.3633,8.92,1121,293.7,666
accessories,Clustering,200,0.1491,0.1044,0.1141,0.0571,0.5105,0.9485,0.9498,0.0251,0.9024,0.9853,0.0161,0.0132,0.0146,0.0003,0.071,0.0182,0.0079,0.0343,0.0007,0.1517,17.84,1121,105.3,666
accessories,Clustering,250,0.1637,0.1441,0.0879,0.0556,0.3408,0.953,0.9587,0.0273,0.8867,0.9925,0.0103,0.0093,0.0055,0.0018,0.0271,0.0159,0.0076,0.0187,0.0028,0.0545,22.3,1121,114.4,666
accessories,Diversity,50,0.1044,0.0593,0.0987,0.024,0.3739,0.8203,0.8232,0.0869,0.6755,1.0,0.019,0.0172,0.0096,0.0065,0.0391,0.0961,0.08,0.067,0.0198,0.2441,4.46,1121,88.75,666
accessories,Diversity,100,0.1387,0.1261,0.079,0.033,0.2673,0.9293,0.9468,0.0461,0.8519,0.9848,0.0138,0.015,0.0051,0.002,0.0214,0.0799,0.0991,0.035,0.0003,0.111,8.92,1121,101.15,666
accessories,Diversity,200,0.248,0.2545,0.1293,0.0465,0.536,0.9193,0.9306,0.0602,0.775,0.986,0.0081,0.0078,0.0065,0.0006,0.0286,0.0187,0.0075,0.022,0.003,0.0934,17.84,1121,180.1,666
accessories,Diversity,250,0.3018,0.3138,0.1035,0.1261,0.521,0.9416,0.9521,0.0512,0.7574,0.9889,0.0057,0.0036,0.0053,0.0001,0.0176,0.0173,0.0042,0.026,0.0007,0.0977,22.3,1121,213.75,666
accessories,LHS,50,0.1017,0.0751,0.0668,0.0255,0.2327,0.8319,0.863,0.1131,0.5309,0.9868,0.0299,0.0214,0.0291,0.0062,0.1251,0.1595,0.1651,0.1025,0.0216,0.3054,4.46,1121,85.9,666
accessories,LHS,100,0.1332,0.0728,0.1121,0.0315,0.3529,0.8954,0.8966,0.054,0.768,0.9783,0.0202,0.0191,0.0093,0.0045,0.0484,0.1313,0.0989,0.0938,0.0053,0.2588,8.92,1121,100.95,666
accessories,LHS,200,0.1922,0.1179,0.1359,0.0631,0.4384,0.9271,0.9333,0.0502,0.8198,1.0,0.0108,0.0086,0.0079,0.0001,0.0347,0.0338,0.0199,0.0372,0.0002,0.1101,17.84,1121,141.4,666
